App Name;Website;IP;Registrar Name;Registrant Name;Registrant Organisation;Registrant Country;Creation Date;For Android;Available on Play Store;Tranco Ranking
familykeeper;familykeeper.reasonlabs.com;76.76.21.98; GoDaddy.com, LLC; Registration Private; Domains By Proxy, LLC; US; 2006-02-27T07:23:49Z;Yes;https://play.google.com/store/apps/details?id=com.reasonlabs.familykeeper.parentalcontrol.parents;N/A
FamiSafe;famisafe.wondershare.com;104.103.72.58; Xiamen 35.Com Technology Co., Ltd; ; ; CN; 2003-09-16T16:00:00Z;Yes;https://play.google.com/store/apps/details?id=com.wondershare.famisafe;N/A
fenced.ai;fenced.ai;172.67.204.42;Namecheap; ; ; ; ;Yes;No;N/A
Findmykids;findmykids.org;116.202.117.176; GoDaddy.com, LLC; REDACTED FOR PRIVACY; Domains By Proxy, LLC; US; 2015-06-03T14:10:27Z;Yes;https://play.google.com/store/apps/details?id=org.findmykids.app;7901
FlashGet Kids;parental-control.flashget.com;163.171.147.103; eName Technology Co.,Ltd.; ; ; CN; 2000-02-22T08:13:15Z;Yes;https://play.google.com/store/apps/details?id=com.flashget.parentalcontrol;N/A
AnyControl;anycontrol.app;172.67.207.131;Namecheap Inc.; ; ; ; ;Yes;No;135169
Funamo;funamo.com;188.114.96.10; GoDaddy.com, LLC; Registration Private; Domains By Proxy, LLC; US; 2011-10-31T13:37:49Z;Yes;https://play.google.com/store/apps/details?id=funamo.funamo;N/A
Geofinder;geofinder.mobi;188.114.97.10;NameCheap, Inc.; ; ; ; ;Yes;https://play.google.com/store/apps/details?id=mobi.geofinder&hl=en_US;571081
Google Family Link;families.google;216.239.32.29;MarkMonitor Inc.; ; ; ; ;Yes;https://families.google/familylink/;61543
Grace;grace-app.com;172.67.213.78; Cloudflare, Inc.; DATA REDACTED; DATA REDACTED; US; 2021-09-09T12:22:42Z;No;N/A;N/A
Highster Mobile;highstermobi.com;188.114.97.10; GoDaddy.com, LLC; Registration Private; Domains By Proxy, LLC; US; 2014-09-27T07:39:27Z;Yes;No;N/A
HomeGuard Activity Monitor;veridium.net;52.116.48.234; GoDaddy.com, LLC; Registration Private; Domains By Proxy, LLC; US; 2010-10-31T01:41:43Z;No;N/A;N/A
